"Run ID","Assay Name","Test Name","Test Date","Qubit tube conc.","Qubit tube conc. units","Original sample conc.","Original sample conc. units","Sample Volume (uL)","Dilution Factor","Std 1 RFU","Std 2 RFU","Std 3 RFU","Excitation","Emission","Green RFU","Far Red RFU"
"2024-08-20_060012","RNA High Sensitivity","Sample_#240820-060307","20/08/2024 06:03:07 AM","69.8","ng/mL","14.0","ng/uL","1","200","105.99","1962.49",,"Red","Far Red",,"390.16"
"2024-08-20_060012","RNA High Sensitivity","Sample_#240820-060256","20/08/2024 06:02:56 AM","24","ng/mL","4.80","ng/uL","1","200","105.99","1962.49",,"Red","Far Red",,"195.55"
"2024-08-20_060012","RNA High Sensitivity","Sample_#240820-060246","20/08/2024 06:02:46 AM","21","ng/mL","4.20","ng/uL","1","200","105.99","1962.49",,"Red","Far Red",,"184.31"
"2024-08-20_060012","RNA High Sensitivity","Sample_#240820-060233","20/08/2024 06:02:33 AM","22","ng/mL","4.40","ng/uL","1","200","105.99","1962.49",,"Red","Far Red",,"190.25"
"2024-08-20_060012","RNA High Sensitivity","Sample_#240820-060221","20/08/2024 06:02:21 AM","102","ng/mL","20.4","ng/uL","1","200","105.99","1962.49",,"Red","Far Red",,"530.02"
"2024-08-20_060012","RNA High Sensitivity","Sample_#240820-060210","20/08/2024 06:02:10 AM","52.7","ng/mL","10.5","ng/uL","1","200","105.99","1962.49",,"Red","Far Red",,"317.04"
"2024-08-20_060012","RNA High Sensitivity","Sample_#240820-060155","20/08/2024 06:01:55 AM","70.3","ng/mL","14.1","ng/uL","1","200","105.99","1962.49",,"Red","Far Red",,"392.40"
"2024-08-20_060012","RNA High Sensitivity","Sample_#240820-060144","20/08/2024 06:01:44 AM","24","ng/mL","4.80","ng/uL","1","200","105.99","1962.49",,"Red","Far Red",,"196.02"
"2024-08-20_060012","RNA High Sensitivity","Sample_#240820-060131","20/08/2024 06:01:31 AM","21","ng/mL","4.20","ng/uL","1","200","105.99","1962.49",,"Red","Far Red",,"185.50"
"2024-08-20_060012","RNA High Sensitivity","Sample_#240820-060118","20/08/2024 06:01:18 AM","23","ng/mL","4.60","ng/uL","1","200","105.99","1962.49",,"Red","Far Red",,"192.00"
"2024-08-20_060012","RNA High Sensitivity","Sample_#240820-060107","20/08/2024 06:01:07 AM","103","ng/mL","20.6","ng/uL","1","200","105.99","1962.49",,"Red","Far Red",,"531.40"
"2024-08-20_060012","RNA High Sensitivity","Sample_#240820-060054","20/08/2024 06:00:54 AM","53.2","ng/mL","10.6","ng/uL","1","200","105.99","1962.49",,"Red","Far Red",,"319.29"
